rule,total,confirmed,confirmation_rate,with_actual_stats,actual_stats_coverage
select_star,10,9,0.9,10,1.0
missing_where,7,0,0.0,7,1.0
non_sargable_predicate,2,2,1.0,2,1.0
order_by_no_index,4,4,1.0,4,1.0
basic_join,11,0,0.0,11,1.0
missing_index,12,10,0.833,12,1.0
complex_join,2,2,1.0,2,1.0
exists_subquery,1,1,1.0,1,1.0
not_exists_subquery,1,1,1.0,1,1.0
cross_join,1,1,1.0,1,1.0
having_clause,1,1,1.0,1,1.0
derived_table,1,0,0.0,1,1.0
window_function,1,1,1.0,1,1.0
correlated_subquery,1,1,1.0,1,1.0
